"Part no","Invoice qty"
"5030030","-1"
"80831","1"
"80833","3"
"80834","2"
"5380403","-1"
"20230","-2"
"80842","7"
"80885","2"
"1147494","2"
"1170100","1"
"1530010","1"
"1630014","4"
"1745000","5"
"3160006","1"
"3162001","4"
"3162006","1"
"3320001","1"
"3327302","15"
"3734529","2"
"3738616","2"
"20462","3"
"35498","20"
"42443","4"
"942548","4"
"942546","6"
"3910201","1"
"3913180","1"
"5000025","12"
"5008555","1"
"5380036","4"
"400001","8"
"400002","5"
"10231","2"
"46003","10"
"46075","5"
"46076","1"
"50262","2"
"50281","1"
"70244","2"
"70264","3"
"70268","3"
"70274","5"
"70419","1"
"70497","1"
"80250","4"
"80259","48"
"8250500","2"
"80713","3"
"80717","1"
"20228","1"
"20462","2"
"30262","2"
"70460","4"
"70465","4"
"70469","2"
"80604","2"
"5000025","3"
"5000029","1"
"5010016","5"
"5671510","3"
"400000","10"
"400002","6"
"400004","2"
"400007","3"
"843015","2"
"80605","8"
"80659","4"
"80681","3"
"20404","-1"
"17367","1"
"400001","-1"
"50231","2"
"817248","-1"
"5386900","1"
"8214400","2"
"80690","2"
"80776","2"
"80776","2"
"3838500","2"
"1630008","1"
"3162009","1"
"3327302","2"
"3733163","4"
"3915033","1"
"5008555","1"
"5671510","3"
"17462","1"
"80885","-1"
"815936","1"
"20248","1"
"3733157","1"
"5671516","1"
"400002","6"
"400003","4"
"Y300400","1"
"70360","1"
"5671516","1"
"400000","14"
"400001","12"
"400002","6"
"400003","4"
"400004","1"
"400009","3"
"3162009","1"
"3915035","1"
"1950225","1"
"1630003","-1"
"1745000","-1"
"3160001","10"
"3162006","1"
"3320001","1"
"3733163","2"
"3734529","2"
"3737437","2"
"3737637","3"
"3738616","1"
"3915065","1"
"3916848","1"
"3917308","2"
"3917438","2"
"3917535","2"
"5000025","15"
"10230","1"
"20260","6"
"20297","2"
"20400","2"
"46013","10"
"46076","4"
"50262","1"
"50498","1"
"70244","3"
"70264","4"
"70266","20"
"70268","2"
"70273","6"
"5000029","1"
"70360","2"
"70460","3"
"80250","4"
"80259","48"
"80278","25"
"80605","50"
"80675","4"
"80680","4"
"80683","8"
"80688","2"
"80702","3"
"80706","7"
"1630003","3"
"70497","3"
"80629","10"
"80842","8"
"30262","10"
"80831","2"
"42443","2"
"70274","5"
"80713","6"
"80831","1"
"80842","2"
"80885","2"
"81020","1"
"81040","3"
"81063","2"
"1300041","4"
"1630002","2"
"1630003","1"
"1630103","2"
"3160001","3"
"3162006","2"
"3327302","5"
"3733162","2"
"80775","20"
"80776","10"
"80793","1"
"80832","3"
"80833","10"
"80834","3"
"80840","1"
"1175778","3"
"3733163","1"
"3838530","1"
"3917308","5"
"3917960","1"
"5384106","1"
"5671510","2"
"20462","2"
"30228","1"
"35498","20"
"15430","2"
"42541","8"
"2488601","2"
"3737437","1"
"80883","1"
"1530020","2"
"1531000","1"
"1630002","1"
"1630050","6"
"1745000","25"
"2260020","4"
"2483875","3"
"2488601","2"
"42543","8"
"1300041","7"
"843016","2"
"942548","6"
"943041","1"
"943043","2"
"2230130","2"
"2260020","2"
"5671519","1"
"400000","10"
"400001","10"
"400002","2"
"400004","2"
"843016","4"
"942442","1"
"943041","1"
"7250501-7","2"
"9430109","7"
"2480003","6"
"10230","1"
"30262","8"
"40497","1"
"46003","20"
"50281","2"
"64511","2"
"70239","2"
"70266","4"
"70465","4"
"70497","1"
"80212","1"
"80259","24"
"80323","3"
"80609","3"
"80629","4"
"80638","8"
"80712","2"
"80775","8"
"80675","4"
"80706","3"
"80775","5"
"80832","1"
"81002","2"
"81060","1"
"1530010","2"
"80659","1"
"1631402","1"
"Y214300","1"
"70502","1"
"77102","1"
"3734529","1"
"3914339","2"
"46003","10"
"70244","1"
"70270","1"
"70273","4"
"3734734","1"
"2230130","4"
"42441","9"
"52558","2"
"325108","6"
"942548","2"
"9530452","1"
"3162001","6"
"17362","1"
"22164","1"
"30499","4"
"40297","2"
"46003","10"
"46075","10"
"70273","3"
"70274","3"
"70297","3"
"80212","2"
"80250","3"
"80259","48"
"80668","1"
"80675","4"
"80681","3"
"80683","4"
"80775","3"
"80842","5"
"1530010","1"
"1630103","1"
"2260020","3"
"3162001","1"
"3737834","2"
"3738616","3"
"3910002","2"
"3913780","1"
"5000025","10"
"400002","6"
"400003","3"
"46075","3"
"40263","1"
"50498","2"
"80659","3"
"3733163","1"
"400008","2"
"1300051","1"
"20260","10"
"20297","2"
"20400","3"
"20462","6"
"81060","1"
"1148429","1"
"1170100","2"
"1175778","2"
"1530020","1"
"1950225","1"
"2483875","8"
"3162001","3"
"3162002","1"
"3162014","2"
"3320001","2"
"5671510","4"
"5671516","2"
"15937","1"
"15936","1"
"42541","5"
"43041","7"
"52558","1"
"430402","3"
"5387236","6"
"400001","8"
"400003","2"
"400007","3"
"80710","1"
"80713","2"
"80775","2"
"80832","5"
"80833","6"
"814111","1"
"15430","2"
"42541","4"
"43041","5"
"817516","1"
"942442","2"
"942548","1"
"70273","5"
"70274","5"
"70465","2"
"70497","1"
"80259","24"
"80278","3"
"80605","15"
"80659","2"
"80675","3"
"80680","2"
"80681","3"
"80706","2"
"80711","2"
"80775","10"
"80833","3"
"80842","8"
"5000029","3"
"5008555","2"
"80706","2"
"80710","3"
"80717","1"
"80775","4"
"1630056","1"
"80842","5"
"81050","2"
"1144580","1"
"2488600","2"
"3160001","2"
"3160006","2"
"3162009","2"
"3320001","1"
"3327302","2"
"3737834","1"
"942540","2"
"5384106","1"
"942553","2"
"943043","2"
"42443","1"
"17410","1"
"17119","1"
"5387236","1"
"5000023","1"
"3160001","2"
"5671510","5"
"20404","1"
"80840","2"
"17116","1"
"20412","2"
"30262","3"
"30289","1"
"35498","10"
"46003","5"
"46013","4"
"64511","2"
"70239","1"
"70244","3"
"70266","6"
"70360","3"
"70465","4"
"80250","2"
"80681","2"
"3160001","6"
"20228","1"
"1535000","1"
"70239","3"
"42541","9"
"42543","10"
"10230","2"
"43041","8"
"80727","1"
"3915085","1"
"843015","4"
"1300055","1"
"13014310","1"
"20297","2"
"46112","2"
"75498","3"
"80793","2"
"42443","9"
"430402","10"
"1147494","2"
"3162014","5"
"70433","1"
"46112","2"
"81045","1"
"20297","1"
"30228","1"
"46112","2"
"46112","2"
"20462","10"
"5384106","2"
"400000","5"
"50281","1"
"80690","1"
"81067","1"
"400000","16"
"400001","10"
"400007","2"
"10231","1"
"20260","2"
"46013","9"
"46075","12"
"46110","1"
"46112","2"
"3914339","2"
"5000025","10"
"30499","3"
"80885","3"
"815440","1"
"54031-12","1"
"3160009","4"
"81002","1"
"1144580","1"
"1175778","4"
"1300041","8"
"1530020","2"
"2260020","6"
"2483875","3"
"3320001","2"
"30262","10"
"50262","1"
"70274","5"
"80278","6"
"80605","20"
"80659","2"
"80690","2"
"80702","2"
"3162001","4"
"3327302","4"
"3737437","2"
"3162020","2"
"2230130","1"
"943043","2"
"817516","1"
"942540","2"
"943040","2"
"70239","8"
"46013","1"
"20297","3"
"35498","15"
"46003","4"
"46013","3"
"80834","2"
"81052","1"
"70244","-1"
"5380036","1"
"80842","-1"
"46076","-1"
"80706","3"
"35498","10"
"46003","10"
"70244","2"
"70266","12"
"70469","2"
"77100","1"
"80212","2"
"80250","3"
"80259","48"
"80604","4"
"80605","15"
"80629","4"
"80638","4"
"80675","3"
"80680","3"
"80706","3"
"3734529","1"
"3734531","1"
"3838530","1"
"3915032","1"
"3915060","1"
"3915085","1"
"3915201","1"
"3916030","1"
"5000025","5"
"5671510","4"
"10280","1"
"22164","1"
"80713","3"
"80831","1"
"80834","1"
"80844","1"
"81063","1"
"81113","1"
"1050180","2"
"1148429","1"
"1170100","2"
"2260020","1"
"2480003","3"
"2483875","2"
"30499","5"
"814117","1"
"80692","1"
"530702","1"
"942545","4"
"942548","4"
"943040","4"
"80609","1"
"80658","2"
"80675","5"
"2260020","1"
"5387236","5"
"81002","1"
"81063","2"
"81120","2"
"1745000","15"
"2260020","4"
"1630050","1"
"81020","1"
"5387436","5"
"5387238","5"
"400008","2"
"10230","4"
"10280","1"
"20260","1"
"22164","3"
"30262","3"
"35498","15"
"40263","2"
"40496","2"
"46013","4"
"50260","1"
"943040","2"
"2488601","3"
"3162001","4"
"3162006","1"
"3734529","1"
"3838530","2"
"3914339","2"
"3915033","1"
"50498","1"
"70265","2"
"70266","8"
"R3530","1"
"53070","1"
"2230130","3"
"3666809","1"
"1630050","1"
"2260020","1"
"20234","3"
"40262","1"
"46112","3"
"1630050","2"
"5380036","1"
"3915086","1"
"20340","1"
"1170198","1"
"17143","1"
"3670006","1"
"80250","2"
"20297","1"
"20400","1"
"46076","2"
"1630008","4"
"1630014","1"
"2483875","2"
"2488600","1"
"3320001","1"
"3327302","15"
"3734531","1"
"3915033","2"
"46110","1"
"70273","2"
"70460","1"
"80212","2"
"80278","3"
"80668","1"
"80675","3"
"80683","2"
"80694","1"
"80712","1"
"80776","1"
"10288","1"
"400009","2"
"943045","2"
"12512304","2"
"80692","1"
"10306","1"
"3915085","1"
"5000023","1"
"400000","15"
"400002","5"
"10230","2"
"40263","2"
"70244","2"
"70265","1"
"70268","3"
"70360","1"
"70497","3"
"80259","24"
"80609","1"
"80658","2"
"80683","2"
"80688","3"
"80690","2"
"80735","2"
"80775","4"
"80831","1"
"80833","5"
"5387436","5"
"80834","5"
"1536010","1"
"2488600","2"
"3160006","1"
"3162006","1"
"3320001","1"
"3733163","1"
"3913180","3"
"5386836","5"
"70273","-6"
"1530010","3"
"5387238","5"
"80683","-1"
"80717","2"
"3162002","6"
"80278","25"
"80605","25"
"80659","1"
"80675","3"
"80681","4"
"80683","6"
"80885","4"
"46003","5"
"80834","2"
"80885","2"
"81052","2"
"17213","1"
"42441","6"
"42443","2"
"81113","1"
"81120","2"
"1144580","2"
"1148429","1"
"1170100","2"
"1300055","1"
"70274","4"
"46112","5"
"1530020","2"
"80710","3"
"1530010","1"
"5380015","1"
"T3030","1"
"817174","1"
"3737437","1"
"3738616","1"
"3917535","1"
"13009130","2"
"815933","1"
"3917960","1"
"5000023","1"
"5008555","5"
"3910205","1"
"30262","5"
"40496","5"
"46003","20"
"46013","20"
"50498","1"
"70274","10"
"70460","4"
"70469","2"
"80259","120"
"5387238","5"
"81122","1"
"3737919","2"
"80710","2"
"80658","6"
"80638","3"
"80680","2"
"80688","1"
"80706","1"
"80713","1"
"80832","2"
"80833","4"
"81002","1"
"81052","3"
"81060","1"
"81063","1"
"1300041","1"
"1536200","2"
"3160009","1"
"3162006","1"
"3320001","4"
"3733163","1"
"3737637","1"
"3910201","1"
"3913180","2"
"3917308","2"
"3918014","1"
"5380036","1"
"400000","10"
"400002","5"
"400008","2"
"400009","3"
"10230","3"
"10231","3"
"20340","2"
"30262","2"
"40262","2"
"50260","1"
"943041","2"
"64511","1"
"70244","5"
"70298","1"
"942553","2"
"843015","4"
"42543","5"
"817588","1"
"15430","4"
"42443","3"
"81120","1"
"5010016","-1"
"46003","10"
"46075","8"
"64511","1"
"42541","4"
"42441","3"
"942551","1"
"843015","2"
"80717","2"
"80735","2"
"80775","3"
"80832","1"
"81002","1"
"81113","2"
"3734531","2"
"1170100","2"
"81120","1"
"817604","1"
"5000025","10"
"80680","3"
"80683","4"
"43041","7"
"2220125","1"
"400008","1"
"64511","2"
"3737834","1"
"3914339","2"
"400004","1"
"20462","4"
"30262","5"
"35498","10"
"46003","10"
"46013","10"
"46075","2"
"46110","1"
"46112","5"
"50262","1"
"80688","3"
"80690","3"
"70270","1"
"70274","6"
"70460","5"
"80259","36"
"80604","8"
"80605","10"
"80629","5"
"80659","2"
"1175778","4"
"1300041","1"
"1630003","1"
"1630008","1"
"1630050","3"
"2488600","1"
"3160014","1"
"70503","-2"
"70504","-1"
"77101","-1"
"77103","-1"
"77104","-2"
"77105","-1"
"1361000","-1"
"819107","-3"
"3916789","-1"
"1630108","-1"
"3915071","-1"
"3915086","-1"
"3915201","-1"
"5000024","-1"
"5385430","-1"
"5671521","-1"
"10225","-1"
"30289","-1"
"40497","-2"
"45052","-1"
"46054","-1"
"70419","-1"
"77102","-1"
"80883","-1"
"77106","-1"
"77107","-1"
"80669","-2"
"817496","-1"
"819106","-3"
"3916020","-1"
"5671520","-1"
"1175778","1"
"1050180","1"
"1530011","1"
"5387436","5"
"81125","1"
"3162002","1"
"3162002","1"
"46075","3"
"3162002","2"
"3327302","4"
"46003","-5"
"1745000","-1"
"3734734","1"
"1170198","-1"
"46075","-1"
"400001","6"
"400007","3"
"40437","1"
"30262","2"
"30499","1"
"35498","20"
"46003","5"
"46013","15"
"80681","2"
"80690","2"
"80706","1"
"80712","1"
"80713","1"
"80717","2"
"80776","1"
"80793","2"
"2260020","3"
"3160001","3"
"400004","1"
"3160006","3"
"3160009","1"
"3327302","5"
"3733163","3"
"3913780","1"
"80832","1"
"80833","4"
"42543","4"
"430402","5"
"843015","3"
"3916848","1"
"3917308","3"
"46076","2"
"81050","2"
"81060","1"
"1144580","4"
"1148429","1"
"1170100","4"
"1300041","2"
"1530010","3"
"70268","1"
"70297","1"
"1630008","2"
"80250","3"
"5000025","8"
"5671510","1"
"80259","60"
"80605","4"
"80659","1"
"80675","3"
"81120","4"
"80250","2"
"50281","1"
"5010016","3"
"5010016","4"
"3738605","1"
"5010016","2"
"817129","1"
"3738609","1"
"80832","3"
"80834","1"
"80840","2"
"80842","8"
"80885","2"
"81040","1"
"81045","2"
"81060","2"
"81113","2"
"81125","1"
"3910205","-1"
"1630103","1"
"1630225","2"
"1940006","2"
"2480003","1"
"3160009","1"
"3162006","1"
"3162015","1"
"3162020","1"
"3734734","1"
"3737437","1"
"5000023","1"
"5000025","10"
"5000029","3"
"5671510","2"
"400000","6"
"400001","4"
"10231","3"
"50260","1"
"50498","2"
"70266","6"
"70268","2"
"70273","1"
"70274","3"
"80259","72"
"80605","10"
"80638","3"
"80675","3"
"80690","2"
"80706","3"
"3737834","1"
"20228","2"
"20340","2"
"30262","6"
"30289","1"
"1144580","1"
"80833","3"
"3917438","2"
"17273","1"
"8218400","2"
"T4040","1"
"5387236","6"
"5386836","5"
"5384084","1"
"40262","1"
"46112","2"
"80776","1"
"1147494","3"
"1148429","1"
"3916030","1"
"3910205","5"
"17468","1"
"45034","1"
"10236","1"
"80712","2"
"80713","3"
"80688","2"
"81020","2"
"81045","3"
"81050","2"
"80717","6"
"80735","1"
"80776","3"
"80832","2"
"80726","1"
"70469","3"
"30228","1"
"30262","15"
"80680","4"
"80681","5"
"80683","8"
"80605","50"
"80609","2"
"80629","10"
"80675","10"
"70274","10"
"70460","2"
"1530010","1"
"1530020","2"
"70497","2"
"80250","4"
"80259","96"
"80278","10"
"1300041","5"
"20228","2"
"20234","3"
"20297","1"
"5010016","3"
"5380036","1"
"20412","2"
"20462","8"
"22164","2"
"70268","2"
"70273","4"
"81120","2"
"80775","2"
"70465","2"
"81052","3"
"10230","1"
"10280","3"
"20400","1"
"2483875","2"
"70266","30"
"80706","5"
"5008555","2"
"3838530","2"
"3915033","3"
"40496","4"
"46003","25"
"46013","15"
"46075","15"
"2260020","3"
"2480003","2"
"5671510","5"
"5671516","2"
"1175778","6"
"80690","6"
"81060","3"
"81063","2"
"50260","3"
"64511","3"
"70239","4"
"70244","2"
"70264","1"
"70265","1"
"30289","3"
"30499","3"
"35498","15"
"40262","2"
"46076","1"
"46112","3"
"3162001","4"
"3327302","10"
"3737834","2"
"3910204","1"
"3914339","1"
"3917438","1"
"1630050","2"
"1630103","4"
"2488600","2"
"3160001","6"
"3160006","3"
"3160014","1"
"80833","10"
"80834","6"
"80842","10"
"80885","4"
"81002","2"
"1630003","2"
"5387238","6"
"17367","1"
"5384331","5"
"5387236","6"
"80840","-1"
"400009","3"
"400008","3"
"3735587","1"
"70297","2"
"70297","4"
"400001","20"
"400004","2"
"400007","3"
"400000","30"
"400002","12"
"400003","6"

